,num,url,title,play,view,author,pts
87,88,//www.bilibili.com/video/av80382877,小嘴抹了蜜,36.1万,438,软猫偷吃星星,704745
88,89,//www.bilibili.com/video/av81001653,您们老师的水杯里可能装的不是开水，可能是奶茶,127.9万,532,奕霖私人定制,701791
89,90,//www.bilibili.com/video/av80858474,【老E】史上最难FPS游戏！全球通关率仅为2.5%,62.5万,3611,EdmundDZhang,691900
90,91,//www.bilibili.com/video/av80764934,魔 鬼 亚 索,95.3万,2572,纱雾老师,689718
91,92,//www.bilibili.com/video/av79028837,当你拔剑的那一刻，世界：你毛都不是！,31.3万,969,-影子a,687981
92,93,//www.bilibili.com/video/av80822701,透明 - G.E.M.邓紫棋,41.9万,3381,大家的音乐姬,684635
93,94,//www.bilibili.com/video/av80871231,徐老师来巡山247：灯笼旁边反复横跳，男枪惨死于秀操作,106.8万,4962,靠脸吃饭的徐大王,683286
94,95,//www.bilibili.com/video/av80820809,【独家视频】二十年前的今天 习近平在干什么？,92.2万,0,央视新闻,682910
95,96,//www.bilibili.com/video/av78161410,沦陷,14.6万,432,朝汐子_,676981
96,97,//www.bilibili.com/video/av80977473,商家是怎样给我们洗脑的？怪异的行为经济学。【围炉夜话01】,17.4万,3972,智能路障,674557
97,98,//www.bilibili.com/video/av79126156,耗时半年！只需15s！我将从你手中夺走硬币！【火影/踩点/高燃】,26.5万,736,催励君,672935
98,99,//www.bilibili.com/video/av78326836,全程高能！请戴好耳机！前方甜蜜大暴击！！前方甜蜜大暴击！！极致舒适，大型秀恩爱下饭现场,28.0万,402,纸鸢_Somnium,665460
99,100,//www.bilibili.com/video/av80825424,100元肯德基外卖，自己做能花多少钱？4斤炸鸡，1个汉堡，真过瘾,72.2万,2889,苗大冬,661092
